,job_title,job_company,job_details,location,experience,salary,min_salary,max_salary,min_experience
99,sourcing analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
100,data engineer,Dompet Kilat,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
101,data analyst,PT. Procon Indo Sekata,"['Jakarta', '']",Jakarta,,[],0,0,0
102,data engineer,Optik Melawai,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
103,data analyst,Celerates,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
104,business intelligence analyst,Bagscity,"['Tangerang', 'IDR\xa05.000.000 - 7.500.000', '1 – 3 tahun']",Tangerang,1 – 3 tahun,"['IDR', '5.000.000', '-', '7.500.000']",5000000,7500000,1
105,data analis,Zeta Bags,"['Kemang, Jakarta', 'IDR\xa05.000.000 - 6.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '6.000.000']",5000000,6000000,1
106,business intelligence analyst (bi analyst),Feedloop,"['Bandung', '3 – 5 tahun']",Bandung,3 – 5 tahun,[],0,0,3
107,data scientist,PT. Mindo Small Business Solutions,"['Yogyakarta', 'IDR\xa02.500.000 - 4.000.000', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,"['IDR', '2.500.000', '-', '4.000.000']",2500000,4000000,1
108,data scientist,PT Cybertrend Intrabuana,"['Cilandak, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
109,data engineer,Pt Surya Madistrindo,"['Jakarta', '']",Jakarta,,[],0,0,0
110,data analytic,Dezire Technologies Pte Ltd,"['Kuningan, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
111,business analyst,PT Bobobox Mitra Indonesia,"['Bandung', '3 – 5 tahun']",Bandung,3 – 5 tahun,[],0,0,3
112,business analyst,Touchten Games,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
113,sales analyst,Ninja Xpress,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
114,data analyst,Pt. Selalu Sukese Prima,"['Tangerang', 'IDR\xa04.500.000 - 5.500.000', '1 – 3 tahun']",Tangerang,1 – 3 tahun,"['IDR', '4.500.000', '-', '5.500.000']",4500000,5500000,1
115,data engineer,MNC Group,"['Menteng, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
116,research analyst,Pt Merah Cipta Media,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
117,merchandising analyst,Bagscity,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
